# ----------------------------------------
# PMP TEST
# 正解率-自由形式 1
# 20260517-20260523
# ----------------------------------------

,正解フラグ,true,(not set),false,合計
ドメイン,問題ID,イベント数,イベント数,イベント数,イベント数
,,8546,5945,2301,16792,総計
Agile,78,7,0,24,31
Agile,447,9,0,22,31
Process,257,11,0,21,32
Agile,146,3,0,20,23
People,88,9,0,20,29
Process,150,13,0,20,33
Process,412,9,0,20,29
Agile,448,13,0,19,32
Business,165,19,0,19,38
People,181,16,0,19,35
People,431,15,0,19,34
Predictive,95,14,0,18,32
Agile,418,14,0,17,31
People,106,8,0,17,25
Predictive,439,7,0,17,24
Process,255,7,0,16,23
Agile,437,20,0,15,35
People,33,11,0,15,26
People,361,9,0,15,24
People,89,9,0,15,24
Predictive,298,16,0,15,31
Process,13,12,0,15,27
Process,45,16,0,15,31
Agile,172,11,0,14,25
Agile,174,15,0,14,29
Agile,98,11,0,14,25
Business,163,15,0,14,29
Business,187,21,0,14,35
Business,59,19,0,14,33
Business,68,17,0,14,31
People,405,10,0,14,24
People,424,15,0,14,29
Predictive,428,17,0,14,31
Process,259,22,0,14,36
Agile,356,17,0,13,30
Agile,80,16,0,13,29
Business,63,15,0,13,28
People,200,15,0,13,28
People,375,15,0,13,28
People,397,12,0,13,25
Process,157,12,0,13,25
Process,186,19,0,13,32
Process,414,14,0,13,27
Agile,416,12,0,12,24
Agile,97,16,0,12,28
Business,164,17,0,12,29
Business,419,11,0,12,23
People,110,13,0,12,25
People,36,18,0,12,30
People,38,13,0,12,25
People,392,13,0,12,25
People,421,10,0,12,22
People,434,8,0,12,20
People,443,12,0,12,24
Process,114,12,0,12,24
Process,58,14,0,12,26
Agile,193,14,0,11,25
Agile,436,23,0,11,34
People,309,14,0,11,25
People,367,9,0,11,20
People,385,13,0,11,24
People,390,18,0,11,29
People,43,15,0,11,26
Predictive,22,12,0,11,23
Predictive,291,14,0,11,25
Predictive,415,8,0,11,19
Process,127,14,0,11,25
Process,14,13,0,11,24
Process,268,10,0,11,21
Process,93,15,0,11,26
Agile,176,20,0,10,30
Business,212,16,0,10,26
Business,66,22,0,10,32
People,101,21,0,10,31
People,368,15,0,10,25
People,377,18,0,10,28
People,402,16,0,10,26
People,407,18,0,10,28
People,432,23,0,10,33
Predictive,300,14,0,10,24
Predictive,351,17,0,10,27
Predictive,71,14,0,10,24
Process,121,19,0,10,29
Process,15,10,0,10,20
Process,266,9,0,10,19
Process,320,15,0,10,25
Business,189,27,0,9,36
Business,420,17,0,9,26
People,222,14,0,9,23
People,244,19,0,9,28
People,301,22,0,9,31
People,370,14,0,9,23
People,384,12,0,9,21
People,435,14,0,9,23
Process,158,10,0,9,19
Process,260,19,0,9,28
Process,261,10,0,9,19
Process,50,15,0,9,24
Agile,203,26,0,8,34
Agile,283,13,0,8,21
Agile,30,23,0,8,31
Business,17,18,0,8,26
Business,449,22,0,8,30
People,183,15,0,8,23
People,215,22,0,8,30
People,35,13,0,8,21
People,376,16,0,8,24
People,388,23,0,8,31
Predictive,170,18,0,8,26
Predictive,348,21,0,8,29
Predictive,76,11,0,8,19
Predictive,77,18,0,8,26
Process,10,13,0,8,21
Process,118,18,0,8,26
Process,124,13,0,8,21
Process,129,11,0,8,19
Agile,145,20,0,7,27
Agile,210,26,0,7,33
Agile,217,22,0,7,29
Agile,282,20,0,7,27
Agile,82,20,0,7,27
Business,130,19,0,7,26
People,108,23,0,7,30
People,32,18,0,7,25
People,381,25,0,7,32
People,383,23,0,7,30
People,4,12,0,7,19
People,404,22,0,7,29
Predictive,139,20,0,7,27
Predictive,24,17,0,7,24
Predictive,429,17,0,7,24
Predictive,438,17,0,7,24
Process,258,14,0,7,21
Process,262,15,0,7,22
Process,426,15,0,7,22
Process,445,23,0,7,30
Process,54,9,0,7,16
Agile,143,15,0,6,21
Agile,144,16,0,6,22
Agile,27,17,0,6,23
Agile,285,20,0,6,26
Agile,29,8,0,6,14
Business,125,34,0,6,40
Business,19,17,0,6,23
Business,272,14,0,6,20
People,104,12,0,6,18
People,111,20,0,6,26
People,236,18,0,6,24
People,321,11,0,6,17
People,362,22,0,6,28
People,369,20,0,6,26
People,373,19,0,6,25
People,401,23,0,6,29
People,403,15,0,6,21
People,409,18,0,6,24
Predictive,167,16,0,6,22
Predictive,297,18,0,6,24
Process,100,21,0,6,27
Process,117,26,0,6,32
Process,161,15,0,6,21
Process,162,20,0,6,26
Process,310,20,0,6,26
Process,47,13,0,6,19
Process,52,16,0,6,22
Process,62,19,0,6,25
Agile,280,16,0,5,21
Business,219,24,0,5,29
Business,358,23,0,5,28
Business,359,21,0,5,26
Business,60,22,0,5,27
People,152,12,0,5,17
People,184,16,0,5,21
People,199,20,0,5,25
People,3,16,0,5,21
People,372,17,0,5,22
People,386,19,0,5,24
People,389,17,0,5,22
People,399,19,0,5,24
People,408,19,0,5,24
People,442,21,0,5,26
People,7,23,0,5,28
Predictive,134,17,0,5,22
Predictive,138,19,0,5,24
Predictive,299,21,0,5,26
Predictive,69,26,0,5,31
Predictive,73,21,0,5,26
Process,115,23,0,5,28
Process,160,18,0,5,23
Process,318,23,0,5,28
Process,338,21,0,5,26
Process,341,17,0,5,22
Process,346,15,0,5,20
Process,446,22,0,5,27
Agile,141,20,0,4,24
Agile,142,23,0,4,27
Agile,220,24,0,4,28
Agile,26,17,0,4,21
Agile,316,23,0,4,27
Agile,79,26,0,4,30
Agile,81,23,0,4,27
Agile,84,22,0,4,26
Business,16,21,0,4,25
Business,430,24,0,4,28
Business,64,22,0,4,26
People,105,19,0,4,23
People,223,25,0,4,29
People,224,18,0,4,22
People,227,20,0,4,24
People,228,20,0,4,24
People,229,18,0,4,22
People,253,26,0,4,30
People,31,18,0,4,22
People,325,19,0,4,23
People,329,23,0,4,27
People,365,21,0,4,25
People,374,20,0,4,24
People,39,15,0,4,19
People,396,17,0,4,21
People,411,19,0,4,23
People,42,17,0,4,21
People,422,13,0,4,17
People,5,19,0,4,23
Predictive,135,17,0,4,21
Predictive,294,14,0,4,18
Predictive,295,27,0,4,31
Predictive,347,17,0,4,21
Predictive,75,24,0,4,28
Process,177,19,0,4,23
Process,269,22,0,4,26
Process,413,20,0,4,24
Agile,148,20,0,3,23
Agile,196,28,0,3,31
Agile,25,21,0,3,24
Agile,28,26,0,3,29
Agile,281,12,0,3,15
Agile,286,16,0,3,19
Agile,417,14,0,3,17
Business,128,19,0,3,22
Business,132,22,0,3,25
Business,271,22,0,3,25
Business,276,23,0,3,26
Business,61,17,0,3,20
People,201,25,0,3,28
People,202,23,0,3,26
People,248,21,0,3,24
People,302,13,0,3,16
People,303,18,0,3,21
People,327,15,0,3,18
People,330,29,0,3,32
People,380,20,0,3,23
People,410,18,0,3,21
People,423,24,0,3,27
People,444,14,0,3,17
People,6,15,0,3,18
Predictive,166,15,0,3,18
Predictive,169,18,0,3,21
Predictive,21,23,0,3,26
Predictive,290,15,0,3,18
Predictive,293,15,0,3,18
Predictive,70,25,0,3,28
Process,113,17,0,3,20
Process,12,24,0,3,27
Process,120,13,0,3,16
Process,149,18,0,3,21
Process,180,24,0,3,27
Process,209,20,0,3,23
Process,256,22,0,3,25
Process,263,22,0,3,25
Process,344,26,0,3,29
Process,46,18,0,3,21
Process,49,10,0,3,13
Process,53,20,0,3,23
Process,8,20,0,3,23
Process,91,20,0,3,23
Agile,171,17,0,2,19
Agile,173,21,0,2,23
Agile,194,27,0,2,29
Agile,195,25,0,2,27
Agile,206,27,0,2,29
Agile,278,23,0,2,25
Agile,353,26,0,2,28
Agile,357,23,0,2,25
Agile,85,23,0,2,25
Agile,99,35,0,2,37
Business,18,21,0,2,23
Business,20,28,0,2,30
Business,208,22,0,2,24
Business,360,21,0,2,23
Business,440,23,0,2,25
People,107,19,0,2,21
People,182,20,0,2,22
People,2,26,0,2,28
People,218,23,0,2,25
People,233,20,0,2,22
People,238,17,0,2,19
People,243,19,0,2,21
People,245,13,0,2,15
People,308,17,0,2,19
People,324,26,0,2,28
People,331,22,0,2,24
People,379,15,0,2,17
People,394,24,0,2,26
People,395,25,0,2,27
People,398,18,0,2,20
People,400,14,0,2,16
People,44,26,0,2,28
Predictive,133,21,0,2,23
Predictive,136,24,0,2,26
Predictive,168,19,0,2,21
Predictive,296,18,0,2,20
Predictive,72,27,0,2,29
Process,123,19,0,2,21
Process,197,22,0,2,24
Process,216,15,0,2,17
Process,264,17,0,2,19
Process,314,19,0,2,21
Process,56,22,0,2,24
Process,9,18,0,2,20
Process,94,28,0,2,30
Agile,175,27,0,1,28
Agile,277,23,0,1,24
Agile,279,21,0,1,22
Agile,284,26,0,1,27
Agile,317,18,0,1,19
Agile,352,27,0,1,28
Agile,83,22,0,1,23
Business,188,20,0,1,21
Business,313,29,0,1,30
Business,450,20,0,1,21
Business,65,22,0,1,23
People,1,21,0,1,22
People,109,27,0,1,28
People,112,23,0,1,24
People,154,19,0,1,20
People,207,17,0,1,18
People,211,15,0,1,16
People,225,15,0,1,16
People,226,24,0,1,25
People,230,23,0,1,24
People,235,23,0,1,24
People,237,18,0,1,19
People,239,19,0,1,20
People,242,26,0,1,27
People,247,27,0,1,28
People,249,25,0,1,26
People,254,20,0,1,21
People,305,17,0,1,18
People,306,15,0,1,16
People,307,20,0,1,21
People,333,25,0,1,26
People,335,19,0,1,20
People,336,15,0,1,16
People,34,26,0,1,27
People,363,19,0,1,20
People,366,19,0,1,20
People,371,22,0,1,23
People,378,30,0,1,31
People,391,18,0,1,19
People,393,17,0,1,18
People,40,17,0,1,18
People,406,22,0,1,23
People,425,24,0,1,25
People,433,23,0,1,24
People,441,20,0,1,21
People,87,22,0,1,23
People,90,13,0,1,14
Predictive,191,19,0,1,20
Predictive,292,19,0,1,20
Process,116,16,0,1,17
Process,119,27,0,1,28
Process,126,26,0,1,27
Process,131,19,0,1,20
Process,156,24,0,1,25
Process,159,22,0,1,23
Process,178,20,0,1,21
Process,179,29,0,1,30
Process,185,22,0,1,23
Process,205,16,0,1,17
Process,214,24,0,1,25
Process,267,22,0,1,23
Process,273,21,0,1,22
Process,311,21,0,1,22
Process,312,28,0,1,29
Process,340,25,0,1,26
Process,342,21,0,1,22
Process,345,13,0,1,14
Process,416,0,0,1,1
Process,427,22,0,1,23
Process,48,15,0,1,16
(not set),(not set),0,5522,0,5522
(not set),1,0,1,0,1
(not set),10,0,1,0,1
(not set),100,0,1,0,1
(not set),102,0,1,0,1
(not set),103,0,1,0,1
(not set),105,0,1,0,1
(not set),106,0,2,0,2
(not set),108,0,3,0,3
(not set),11,0,1,0,1
(not set),110,0,2,0,2
(not set),113,0,1,0,1
(not set),114,0,2,0,2
(not set),115,0,1,0,1
(not set),116,0,2,0,2
(not set),117,0,1,0,1
(not set),118,0,1,0,1
(not set),12,0,1,0,1
(not set),121,0,2,0,2
(not set),123,0,1,0,1
(not set),124,0,1,0,1
(not set),125,0,4,0,4
(not set),126,0,1,0,1
(not set),127,0,2,0,2
(not set),129,0,2,0,2
(not set),13,0,3,0,3
(not set),130,0,1,0,1
(not set),132,0,1,0,1
(not set),136,0,1,0,1
(not set),138,0,2,0,2
(not set),139,0,1,0,1
(not set),14,0,1,0,1
(not set),140,0,1,0,1
(not set),142,0,2,0,2
(not set),144,0,3,0,3
(not set),145,0,2,0,2
(not set),146,0,4,0,4
(not set),147,0,1,0,1
(not set),148,0,2,0,2
(not set),149,0,1,0,1
(not set),15,0,1,0,1
(not set),150,0,1,0,1
(not set),152,0,1,0,1
(not set),154,0,1,0,1
(not set),155,0,1,0,1
(not set),156,0,1,0,1
(not set),157,0,2,0,2
(not set),158,0,1,0,1
(not set),159,0,1,0,1
(not set),160,0,1,0,1
(not set),161,0,2,0,2
(not set),162,0,2,0,2
(not set),163,0,2,0,2
(not set),164,0,2,0,2
(not set),165,0,5,0,5
(not set),166,0,1,0,1
(not set),167,0,2,0,2
(not set),168,0,1,0,1
(not set),17,0,1,0,1
(not set),170,0,1,0,1
(not set),171,0,1,0,1
(not set),172,0,1,0,1
(not set),173,0,2,0,2
(not set),174,0,2,0,2
(not set),176,0,3,0,3
(not set),179,0,1,0,1
(not set),181,0,1,0,1
(not set),182,0,1,0,1
(not set),183,0,1,0,1
(not set),184,0,1,0,1
(not set),186,0,1,0,1
(not set),187,0,2,0,2
(not set),189,0,3,0,3
(not set),190,0,1,0,1
(not set),191,0,1,0,1
(not set),192,0,1,0,1
(not set),193,0,1,0,1
(not set),194,0,1,0,1
(not set),195,0,3,0,3
(not set),198,0,1,0,1
(not set),199,0,1,0,1
(not set),2,0,1,0,1
(not set),200,0,1,0,1
(not set),201,0,1,0,1
(not set),203,0,3,0,3
(not set),205,0,1,0,1
(not set),206,0,1,0,1
(not set),209,0,1,0,1
(not set),21,0,1,0,1
(not set),210,0,1,0,1
(not set),212,0,1,0,1
(not set),214,0,1,0,1
(not set),215,0,1,0,1
(not set),216,0,1,0,1
(not set),217,0,1,0,1
(not set),219,0,2,0,2
(not set),220,0,1,0,1
(not set),221,0,1,0,1
(not set),222,0,1,0,1
(not set),223,0,1,0,1
(not set),226,0,1,0,1
(not set),227,0,1,0,1
(not set),229,0,1,0,1
(not set),23,0,1,0,1
(not set),235,0,1,0,1
(not set),238,0,1,0,1
(not set),239,0,1,0,1
(not set),24,0,2,0,2
(not set),241,0,1,0,1
(not set),243,0,1,0,1
(not set),244,0,1,0,1
(not set),245,0,1,0,1
(not set),247,0,1,0,1
(not set),253,0,2,0,2
(not set),254,0,1,0,1
(not set),255,0,3,0,3
(not set),256,0,1,0,1
(not set),257,0,5,0,5
(not set),258,0,1,0,1
(not set),259,0,2,0,2
(not set),26,0,2,0,2
(not set),261,0,1,0,1
(not set),262,0,1,0,1
(not set),263,0,2,0,2
(not set),266,0,1,0,1
(not set),268,0,2,0,2
(not set),269,0,1,0,1
(not set),27,0,3,0,3
(not set),272,0,3,0,3
(not set),274,0,1,0,1
(not set),277,0,1,0,1
